anno,insegnamento,link,codice,settore,CFU,semetre,docente,propedeuticità
1,Analisi Matematica,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2017&cdl=0&id=AM,AM,MAT/05,9,1,Radulescu,
1,Architettura dei sistemi di elaborazione,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2017&cdl=0&id=AE,AE,ING-INF/05,6,1,Simonetta,
1,Fisica,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2017&cdl=0&id=FI,FI,FIS/01,6,2,Camarri,Analisi Matematica-
1,Geometria ed algebra,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2017&cdl=0&id=GA,GA,MAT/03,6,2,Brenti,
1,Logica e reti logiche,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2017&cdl=0&id=LRL,LRL,INF/01,6,2,Pasquale,
1,Matematica discreta,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2017&cdl=0&id=MD,MD,MAT/02,9,1,Gavarini,
1,Programmazione dei calcolatori con laboratorio,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2017&cdl=0&id=PR,PR,INF/01,12,1-2,Rossi,
2,Algoritmi e strutture dati,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2017&cdl=0&id=ASD,ASD,INF/01,12,1-2,Guala',Analisi Matematica-Matematica discreta-Programmazione dei calcolatori con laboratorio-
2,Basi di dati e di conoscenza,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2017&cdl=0&id=BDC,BDC,INF/01,12,1-2,Vigliano,Matematica discreta-Programmazione dei calcolatori con laboratorio-
2,Calcolo delle probabilità,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2017&cdl=0&id=CP,CP,MAT/06,6,1,Marinucci,Analisi Matematica-
2,Fondamenti di informatica,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2017&cdl=0&id=FO,FO,INF/01,12,1-2,Gambosi-Di Ianni,Matematica discreta-
2,Linguaggi e metodologie di programmazione,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2017&cdl=0&id=LMP,LMP,ING-INF/05,12,1-2,Zanzotto-Stellato,Programmazione dei calcolatori con laboratorio-
2,Ricerca operativa,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2017&cdl=0&id=RO,RO,MAT/09,6,2,Caramia,
2,Sistemi operativi e reti,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2017&cdl=0&id=SOR,SOR,INF/01,12,1-2,Frasca,Architettura dei sistemi di elaborazione-Programmazione dei calcolatori con laboratorio-
3,Algoritmi e strutture dati 2,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2017&cdl=0&id=ASD2,ASD2,INF/01,6,1,Pasquale-Clementi,Algoritmi e strutture dati-
3,Calcolo numerico,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2017&cdl=0&id=CN,CN,MAT/08,6,1,Manni,Analisi Matematica-Matematica discreta-
3,Ingegneria del software,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2017&cdl=0&id=IS,IS,INF/01,12,1-2,Intrigila-D'Ambrogio,Linguaggi e metodologie di programmazione-
3,Intelligenza artificiale 1,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2017&cdl=0&id=IA,IA,ING-INF/05,6,1,Pazienza,Programmazione dei calcolatori con laboratorio-
3,Lingua inglese,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2017&cdl=0&id=LING,LING,L-LIN/02,3,1,Cavagnoli,
3,Modelli e linguaggi di simulazione,http://www.informatica.uniroma2.it/f0?fid=220&srv=0&os=2017&cdl=0&id=MLS,MLS,ING-INF/05,6,2,Iazeolla,
